"","x","y","relab","maxima"
"1",134000.5,0,0,FALSE
"2",134001.5,0,0,FALSE
"3",134002.5,0,0,FALSE
"4",134003.5,0,0,FALSE
"5",134004.5,0,0,FALSE
"6",134005.5,0,0,FALSE
"7",134006.5,0,0,FALSE
"8",134007.5,0,0,FALSE
"9",134008.5,0,0,FALSE
"10",134009.5,0,0,FALSE
"11",134010.5,0,0,FALSE
"12",134011.5,0,0,FALSE
"13",134012.5,0,0,FALSE
"14",134013.5,0,0,FALSE
"15",134014.5,0,0,FALSE
"16",134015.5,0,0,FALSE
"17",134016.5,0,0,FALSE
"18",134017.5,0,0,FALSE
"19",134018.5,0,0,FALSE
"20",134019.5,0,0,FALSE
"21",134020.5,0,0,FALSE
"22",134021.5,0,0,FALSE
"23",134022.5,0,0,FALSE
"24",134023.5,0,0,FALSE
"25",134024.5,0,0,FALSE
"26",134025.5,0,0,FALSE
"27",134026.5,0,0,FALSE
"28",134027.5,0,0,FALSE
"29",134028.5,0,0,FALSE
"30",134029.5,0,0,FALSE
"31",134030.5,0,0,FALSE
"32",134031.5,0,0,FALSE
"33",134032.5,0,0,FALSE
"34",134033.5,0,0,FALSE
"35",134034.5,0,0,FALSE
"36",134035.5,0,0,FALSE
"37",134036.5,0,0,FALSE
"38",134037.5,0,0,FALSE
"39",134038.5,0,0,FALSE
"40",134039.5,0,0,FALSE
"41",134040.5,0,0,FALSE
"42",134041.5,0,0,FALSE
"43",134042.5,0,0,FALSE
"44",134043.5,0,0,FALSE
"45",134044.5,0,0,FALSE
"46",134045.5,0,0,FALSE
"47",134046.5,0,0,FALSE
"48",134047.5,0,0,FALSE
"49",134048.5,0,0,FALSE
"50",134049.5,0,0,FALSE
"51",134050.5,0,0,FALSE
"52",134051.5,0,0,FALSE
"53",134052.5,0,0,FALSE
"54",134053.5,0,0,FALSE
"55",134054.5,0,0,FALSE
"56",134055.5,0,0,FALSE
"57",134056.5,0,0,FALSE
"58",134057.5,0,0,FALSE
"59",134058.5,0,0,FALSE
"60",134059.5,0,0,FALSE
"61",134060.5,0,0,FALSE
"62",134061.5,0,0,FALSE
"63",134062.5,0,0,FALSE
"64",134063.5,0,0,FALSE
"65",134064.5,0,0,FALSE
"66",134065.5,0,0,FALSE
"67",134066.5,0,0,FALSE
"68",134067.5,0,0,FALSE
"69",134068.5,0,0,FALSE
"70",134069.5,0,0,FALSE
"71",134070.5,0,0,FALSE
"72",134071.5,0,0,FALSE
"73",134072.5,0,0,FALSE
"74",134073.5,0,0,FALSE
"75",134074.5,0,0,FALSE
"76",134075.5,0,0,FALSE
"77",134076.5,0,0,FALSE
"78",134077.5,0,0,FALSE
"79",134078.5,0,0,FALSE
"80",134079.5,0,0,FALSE
"81",134080.5,0,0,FALSE
"82",134081.5,0,0,FALSE
"83",134082.5,0,0,FALSE
"84",134083.5,0,0,FALSE
"85",134084.5,0,0,FALSE
