"","x","y","relab","maxima"
"173",233172.5,0,0,FALSE
"174",233173.5,0,0,FALSE
"175",233174.5,0,0,FALSE
"176",233175.5,0,0,FALSE
"177",233176.5,0,0,FALSE
"178",233177.5,0,0,FALSE
"179",233178.5,0,0,FALSE
"180",233179.5,0,0,FALSE
"181",233180.5,0,0,FALSE
"182",233181.5,0,0,FALSE
"183",233182.5,0,0,FALSE
"184",233183.5,0,0,FALSE
"185",233184.5,0,0,FALSE
"186",233185.5,0,0,FALSE
"187",233186.5,0,0,FALSE
"188",233187.5,0,0,FALSE
"189",233188.5,0,0,FALSE
"190",233189.5,0,0,FALSE
"191",233190.5,0,0,FALSE
"192",233191.5,0,0,FALSE
"193",233192.5,0,0,FALSE
"194",233193.5,0,0,FALSE
"195",233194.5,0,0,FALSE
"196",233195.5,0,0,FALSE
"197",233196.5,0,0,FALSE
"198",233197.5,0,0,FALSE
"199",233198.5,0,0,FALSE
"200",233199.5,0,0,FALSE
"201",233200.5,0,0,FALSE
"202",233201.5,0,0,FALSE
"203",233202.5,0,0,FALSE
"204",233203.5,0,0,FALSE
"205",233204.5,0,0,FALSE
"206",233205.5,0,0,FALSE
"207",233206.5,0,0,FALSE
"208",233207.5,0,0,FALSE
"209",233208.5,0,0,FALSE
"210",233209.5,0,0,FALSE
"211",233210.5,0,0,FALSE
"212",233211.5,0,0,FALSE
"213",233212.5,0,0,FALSE
"214",233213.5,0,0,FALSE
"215",233214.5,0,0,FALSE
"216",233215.5,0,0,FALSE
"217",233216.5,0,0,FALSE
"218",233217.5,0,0,FALSE
"219",233218.5,0,0,FALSE
"220",233219.5,0,0,FALSE
"221",233220.5,0,0,FALSE
"222",233221.5,0,0,FALSE
"223",233222.5,0,0,FALSE
"224",233223.5,0,0,FALSE
"225",233224.5,0,0,FALSE
"226",233225.5,0,0,FALSE
"227",233226.5,0,0,FALSE
"228",233227.5,0,0,FALSE
"229",233228.5,0,0,FALSE
"230",233229.5,0,0,FALSE
"231",233230.5,0,0,FALSE
"232",233231.5,0,0,FALSE
"233",233232.5,0,0,FALSE
"234",233233.5,0,0,FALSE
"235",233234.5,0,0,FALSE
"236",233235.5,0,0,FALSE
"237",233236.5,0,0,FALSE
"238",233237.5,0,0,FALSE
"239",233238.5,0,0,FALSE
"240",233239.5,0,0,FALSE
"241",233240.5,0,0,FALSE
"242",233241.5,0,0,FALSE
"243",233242.5,0,0,FALSE
"244",233243.5,0,0,FALSE
"245",233244.5,0,0,FALSE
"246",233245.5,0,0,FALSE
"247",233246.5,0,0,FALSE
"248",233247.5,0,0,FALSE
"249",233248.5,0,0,FALSE
"250",233249.5,0,0,FALSE
"251",233250.5,0,0,FALSE
"252",233251.5,0,0,FALSE
"253",233252.5,0,0,FALSE
"254",233253.5,0,0,FALSE
"255",233254.5,0,0,FALSE
"256",233255.5,0,0,FALSE
"257",233256.5,0,0,FALSE
"258",233257.5,0,0,FALSE
"259",233258.5,0,0,FALSE
"260",233259.5,0,0,FALSE
"261",233260.5,0,0,FALSE
"262",233261.5,0,0,FALSE
"263",233262.5,0,0,FALSE
"264",233263.5,0,0,FALSE
"265",233264.5,0,0,FALSE
"266",233265.5,0,0,FALSE
"267",233266.5,0,0,FALSE
"268",233267.5,0,0,FALSE
"269",233268.5,0,0,FALSE
"270",233269.5,0,0,FALSE
"271",233270.5,0,0,FALSE
"272",233271.5,0,0,FALSE
"273",233272.5,0,0,FALSE
"274",233273.5,0,0,FALSE
"275",233274.5,0,0,FALSE
"276",233275.5,0,0,FALSE
"277",233276.5,0,0,FALSE
"278",233277.5,0,0,FALSE
"279",233278.5,0,0,FALSE
"280",233279.5,0,0,FALSE
"281",233280.5,0,0,FALSE
"282",233281.5,0,0,FALSE
"283",233282.5,0,0,FALSE
"284",233283.5,0,0,FALSE
"285",233284.5,0,0,FALSE
"286",233285.5,0,0,FALSE
"287",233286.5,0,0,FALSE
"288",233287.5,0,0,FALSE
"289",233288.5,0,0,FALSE
"290",233289.5,0,0,FALSE
"291",233290.5,0,0,FALSE
"292",233291.5,0,0,FALSE
"293",233292.5,0,0,FALSE
"294",233293.5,0,0,FALSE
"295",233294.5,0,0,FALSE
"296",233295.5,0,0,FALSE
"297",233296.5,0,0,FALSE
"298",233297.5,0,0,FALSE
"299",233298.5,0,0,FALSE
"300",233299.5,0,0,FALSE
"301",233300.5,0,0,FALSE
"302",233301.5,0,0,FALSE
"303",233302.5,0,0,FALSE
"304",233303.5,0,0,FALSE
"305",233304.5,0,0,FALSE
"306",233305.5,0,0,FALSE
"307",233306.5,0,0,FALSE
"308",233307.5,0,0,FALSE
"309",233308.5,0,0,FALSE
"310",233309.5,0,0,FALSE
"311",233310.5,0,0,FALSE
"312",233311.5,0,0,FALSE
"313",233312.5,0,0,FALSE
"314",233313.5,0,0,FALSE
"315",233314.5,0,0,FALSE
"316",233315.5,0,0,FALSE
"317",233316.5,0,0,FALSE
"318",233317.5,0,0,FALSE
"319",233318.5,0,0,FALSE
"320",233319.5,0,0,FALSE
"321",233320.5,0.0022912766363134,0.10948435838995,FALSE
"322",233321.5,0.00632193986229875,0.302082043972342,FALSE
"323",233322.5,0.0104700507509751,0.500291745926017,FALSE
"324",233323.5,0.0147328347309896,0.703980886560629,FALSE
"325",233324.5,0.0190773532240401,0.911575557665128,FALSE
"326",233325.5,0.0234954185616342,1.12268452685081,FALSE
"327",233326.5,0.0279683217641597,1.33641382060243,FALSE
"328",233327.5,0.0324803794537307,1.55201403811085,FALSE
"329",233328.5,0.0370102296326934,1.76846443636756,FALSE
"330",233329.5,0.0415373133910244,1.98478264640086,FALSE
"331",233330.5,0.0460402740827716,2.19994818092328,FALSE
"332",233331.5,0.0504971118975219,2.41290982023939,FALSE
"333",233332.5,0.0548853513643776,2.62259361610926,FALSE
"334",233333.5,0.0591896751004336,2.82826765610775,FALSE
"335",233334.5,0.0633749026995895,3.02825091048542,FALSE
"336",233335.5,0.0674239216978727,3.22172569223374,FALSE
"337",233336.5,0.071313717003284,3.40759226833012,FALSE
"338",233337.5,0.0750242865472648,3.58489487742828,FALSE
"339",233338.5,0.0785336867687647,3.75258498760313,FALSE
"340",233339.5,0.081821977559038,3.90970979814191,FALSE
"341",233340.5,0.0848704109114275,4.05537347069516,FALSE
"342",233341.5,0.0876616327956251,4.1887467754599,FALSE
"343",233342.5,0.0901798730408151,4.30907616438956,FALSE
"344",233343.5,0.0924177462022153,4.4160087378514,FALSE
"345",233344.5,0.0943522204975733,4.5084439653104,FALSE
"346",233345.5,0.0959782932081923,4.58614280123271,FALSE
"347",233346.5,0.0972880490509097,4.64872702865193,FALSE
"348",233347.5,0.0982766222597368,4.69596414606263,FALSE
"349",233348.5,0.0989406617085793,4.72769402618706,FALSE
"350",233349.5,0.0992795162626992,4.74388555577252,TRUE
"351",233350.5,0.0992949218924486,4.74462168490768,FALSE
"352",233351.5,0.0989909735313198,4.73009808231232,FALSE
"353",233352.5,0.0983740662255021,4.70062032327917,FALSE
"354",233353.5,0.0974583211842899,4.65686316331999,FALSE
"355",233354.5,0.0962453388556923,4.59890307684238,FALSE
"356",233355.5,0.0947519697530971,4.52754523403729,FALSE
"357",233356.5,0.0929924618903556,4.44347044953451,FALSE
"358",233357.5,0.0909838652278163,4.34749342372407,FALSE
"359",233358.5,0.0887433719394821,4.24043565240888,FALSE
"360",233359.5,0.0862898744313731,4.12319987379122,FALSE
"361",233360.5,0.0836432533429629,3.99673604695619,FALSE
"362",233361.5,0.080824143961813,3.86203019043295,FALSE
"363",233362.5,0.0778536988588694,3.72009304016741,FALSE
"364",233363.5,0.074756857872577,3.57211629958253,FALSE
"365",233364.5,0.0715493108534171,3.41884967876832,FALSE
"366",233365.5,0.0682550243185884,3.26143837281677,FALSE
"367",233366.5,0.0648934173475609,3.10081028603354,FALSE
"368",233367.5,0.0614885099856777,2.93811317125267,FALSE
"369",233368.5,0.0580578386326923,2.77418497245922,FALSE
"370",233369.5,0.0546201474968264,2.60992134650148,FALSE
"371",233370.5,0.0511930853533083,2.44616560701588,FALSE
"372",233371.5,0.0477930752387294,2.28370249801612,FALSE
"373",233372.5,0.0444352046639158,2.12325294792099,FALSE
"374",233373.5,0.0411349944007193,1.96555858771516,FALSE
"375",233374.5,0.0379015509418083,1.81105455407798,FALSE
"376",233375.5,0.034746922494061,1.6603165479872,FALSE
"377",233376.5,0.0316738566183157,1.51347585648633,FALSE
"378",233377.5,0.0287043978303922,1.37158583543488,FALSE
"379",233378.5,0.0258360507232134,1.23452724648405,FALSE
"380",233379.5,0.02307344929057,1.10252151633931,FALSE
"381",233380.5,0.0204197485093409,0.975719399655905,FALSE
"382",233381.5,0.0178766952372809,0.854204366756637,FALSE
"383",233382.5,0.0154447117662602,0.737996596066809,FALSE
"384",233383.5,0.0131237867460855,0.627095545238722,FALSE
"385",233384.5,0.0109106724151553,0.521346026073132,FALSE
"386",233385.5,0.00880302697128153,0.420636139942882,FALSE
"387",233386.5,0.0067840776448843,0.324164431499124,FALSE
"388",233387.5,0.00487860938728404,0.233115203173974,FALSE
"389",233388.5,0.00306407351706618,0.146411008500215,FALSE
"390",233389.5,0.00133492864425147,0.0637870625466662,FALSE
"391",233390.5,0,0,FALSE
"392",233391.5,0,0,FALSE
